Data;Kurs;Zmiana;Nazwa Tabeli
2022-12-30;4.6899;-0.15;252/A/NBP/2022
2022-12-29;4.6969;0.07;251/A/NBP/2022
2022-12-28;4.6938;0.82;250/A/NBP/2022
2022-12-27;4.6558;0.42;249/A/NBP/2022
2022-12-23;4.6364;-0.40;248/A/NBP/2022
2022-12-22;4.6551;-0.21;247/A/NBP/2022
2022-12-21;4.6648;-0.33;246/A/NBP/2022
2022-12-20;4.6804;-0.17;245/A/NBP/2022
2022-12-19;4.6886;-0.10;244/A/NBP/2022
2022-12-16;4.6934;0.19;243/A/NBP/2022
2022-12-15;4.6843;-0.09;242/A/NBP/2022
2022-12-14;4.6886;-0.13;241/A/NBP/2022
2022-12-13;4.6945;0.07;240/A/NBP/2022
2022-12-12;4.6912;0.19;239/A/NBP/2022
2022-12-09;4.6821;-0.33;238/A/NBP/2022
2022-12-08;4.6976;0.02;237/A/NBP/2022
2022-12-07;4.6968;-0.06;236/A/NBP/2022
2022-12-06;4.6995;0.21;235/A/NBP/2022
2022-12-05;4.6898;0.10;234/A/NBP/2022
2022-12-02;4.6850;-0.09;233/A/NBP/2022
2022-12-01;4.6892;0.45;232/A/NBP/2022
2022-11-30;4.6684;-0.28;231/A/NBP/2022
2022-11-29;4.6813;-0.05;230/A/NBP/2022
2022-11-28;4.6835;-0.10;229/A/NBP/2022
2022-11-25;4.6884;-0.23;228/A/NBP/2022
2022-11-24;4.6993;0.07;227/A/NBP/2022
2022-11-23;4.6958;-0.25;226/A/NBP/2022
2022-11-22;4.7075;0.08;225/A/NBP/2022
2022-11-21;4.7035;-0.07;224/A/NBP/2022
2022-11-18;4.7067;0.06;223/A/NBP/2022
2022-11-17;4.7039;0.21;222/A/NBP/2022
2022-11-16;4.6942;-0.09;221/A/NBP/2022
2022-11-15;4.6985;0.41;220/A/NBP/2022
2022-11-14;4.6794;-0.75;219/A/NBP/2022
2022-11-10;4.7146;0.23;218/A/NBP/2022
2022-11-09;4.7037;0.27;217/A/NBP/2022
2022-11-08;4.6912;0.12;216/A/NBP/2022
2022-11-07;4.6858;-0.09;215/A/NBP/2022
2022-11-04;4.6898;-0.43;214/A/NBP/2022
2022-11-03;4.7101;0.13;213/A/NBP/2022
2022-11-02;4.7039;-0.11;212/A/NBP/2022
2022-10-31;4.7089;-0.23;211/A/NBP/2022
2022-10-28;4.7199;-0.64;210/A/NBP/2022
2022-10-27;4.7504;-0.46;209/A/NBP/2022
2022-10-26;4.7723;-0.17;208/A/NBP/2022
2022-10-25;4.7805;-0.13;207/A/NBP/2022
2022-10-24;4.7866;0.13;206/A/NBP/2022
2022-10-21;4.7804;-0.31;205/A/NBP/2022
2022-10-20;4.7955;-0.09;204/A/NBP/2022
2022-10-19;4.7997;-0.20;203/A/NBP/2022
2022-10-18;4.8092;-0.28;202/A/NBP/2022
2022-10-17;4.8229;-0.21;201/A/NBP/2022
2022-10-14;4.8330;-0.28;200/A/NBP/2022
2022-10-13;4.8468;-0.14;199/A/NBP/2022
2022-10-12;4.8536;-0.36;198/A/NBP/2022
2022-10-11;4.8711;0.07;197/A/NBP/2022
2022-10-10;4.8677;0.15;196/A/NBP/2022
2022-10-07;4.8606;0.33;195/A/NBP/2022
2022-10-06;4.8445;0.66;194/A/NBP/2022
2022-10-05;4.8128;0.25;193/A/NBP/2022
2022-10-04;4.8007;-0.55;192/A/NBP/2022
2022-10-03;4.8272;-0.87;191/A/NBP/2022
2022-09-30;4.8698;0.13;190/A/NBP/2022
2022-09-29;4.8637;1.02;189/A/NBP/2022
2022-09-28;4.8147;1.12;188/A/NBP/2022
2022-09-27;4.7616;0.11;187/A/NBP/2022
2022-09-26;4.7566;-0.05;186/A/NBP/2022
2022-09-23;4.7591;-0.35;185/A/NBP/2022
2022-09-22;4.7758;0.65;184/A/NBP/2022
2022-09-21;4.7449;0.60;183/A/NBP/2022
2022-09-20;4.7165;0.05;182/A/NBP/2022
2022-09-19;4.7142;-0.07;181/A/NBP/2022
2022-09-16;4.7176;0.03;180/A/NBP/2022
2022-09-15;4.7164;-0.07;179/A/NBP/2022
2022-09-14;4.7195;0.24;178/A/NBP/2022
2022-09-13;4.7082;-0.07;177/A/NBP/2022
2022-09-12;4.7113;0.03;176/A/NBP/2022
2022-09-09;4.7098;-0.31;175/A/NBP/2022
2022-09-08;4.7244;0.23;174/A/NBP/2022
2022-09-07;4.7137;-0.07;173/A/NBP/2022
2022-09-06;4.7168;-0.20;172/A/NBP/2022
2022-09-05;4.7263;0.25;171/A/NBP/2022
2022-09-02;4.7144;0.02;170/A/NBP/2022
2022-09-01;4.7133;-0.28;169/A/NBP/2022
2022-08-31;4.7265;-0.13;168/A/NBP/2022
2022-08-30;4.7328;-0.42;167/A/NBP/2022
2022-08-29;4.7529;0.24;166/A/NBP/2022
2022-08-26;4.7413;-0.36;165/A/NBP/2022
2022-08-25;4.7584;-0.39;164/A/NBP/2022
2022-08-24;4.7772;0.14;163/A/NBP/2022
2022-08-23;4.7706;0.45;162/A/NBP/2022
2022-08-22;4.7493;0.03;161/A/NBP/2022
2022-08-19;4.7480;0.50;160/A/NBP/2022
2022-08-18;4.7244;0.69;159/A/NBP/2022
2022-08-17;4.6921;-0.01;158/A/NBP/2022
2022-08-16;4.6928;0.20;157/A/NBP/2022
2022-08-12;4.6832;0.19;156/A/NBP/2022
2022-08-11;4.6745;-0.83;155/A/NBP/2022
2022-08-10;4.7138;0.25;154/A/NBP/2022
2022-08-09;4.7021;0.02;153/A/NBP/2022
2022-08-08;4.7013;-0.08;152/A/NBP/2022
2022-08-05;4.7053;-0.37;151/A/NBP/2022
2022-08-04;4.7230;0.42;150/A/NBP/2022
2022-08-03;4.7032;-0.13;149/A/NBP/2022
2022-08-02;4.7092;-0.81;148/A/NBP/2022
2022-08-01;4.7475;0.16;147/A/NBP/2022
2022-07-29;4.7399;-1.20;146/A/NBP/2022
2022-07-28;4.7973;0.34;145/A/NBP/2022
2022-07-27;4.7811;1.33;144/A/NBP/2022
2022-07-26;4.7183;-0.03;143/A/NBP/2022
2022-07-25;4.7196;-0.94;142/A/NBP/2022
2022-07-22;4.7643;0.14;141/A/NBP/2022
2022-07-21;4.7578;-0.05;140/A/NBP/2022
2022-07-20;4.7603;-0.27;139/A/NBP/2022
2022-07-19;4.7731;-0.08;138/A/NBP/2022
2022-07-18;4.7770;-0.72;137/A/NBP/2022
2022-07-15;4.8115;-0.53;136/A/NBP/2022
2022-07-14;4.8371;-0.06;135/A/NBP/2022
2022-07-13;4.8399;0.13;134/A/NBP/2022
2022-07-12;4.8337;0.75;133/A/NBP/2022
2022-07-11;4.7976;0.04;132/A/NBP/2022
2022-07-08;4.7958;-0.01;131/A/NBP/2022
2022-07-07;4.7965;0.05;130/A/NBP/2022
2022-07-06;4.7942;1.23;129/A/NBP/2022
2022-07-05;4.7358;0.76;128/A/NBP/2022
2022-07-04;4.7002;-0.37;127/A/NBP/2022
2022-07-01;4.7176;0.79;126/A/NBP/2022
2022-06-30;4.6806;-0.01;125/A/NBP/2022
2022-06-29;4.6809;-0.41;124/A/NBP/2022
2022-06-28;4.7004;0.08;123/A/NBP/2022
2022-06-27;4.6965;-0.27;122/A/NBP/2022
2022-06-24;4.7094;0.00;121/A/NBP/2022
2022-06-23;4.7096;1.09;120/A/NBP/2022
2022-06-22;4.6590;0.28;119/A/NBP/2022
2022-06-21;4.6460;-0.58;118/A/NBP/2022
2022-06-20;4.6731;-0.47;117/A/NBP/2022
2022-06-17;4.6951;0.66;116/A/NBP/2022
2022-06-15;4.6642;0.20;115/A/NBP/2022
2022-06-14;4.6548;0.51;114/A/NBP/2022
2022-06-13;4.6313;0.61;113/A/NBP/2022
2022-06-10;4.6030;0.45;112/A/NBP/2022
2022-06-09;4.5826;0.02;111/A/NBP/2022
2022-06-08;4.5817;-0.08;110/A/NBP/2022
2022-06-07;4.5855;-3.64;109/A/NBP/2022
2022-06-06;4.5880;-0.06;108/A/NBP/2022
2022-06-03;4.5908;0.07;107/A/NBP/2022
2022-06-02;4.5876;-0.03;106/A/NBP/2022
2022-06-01;4.5891;0.30;105/A/NBP/2022
2022-05-31;4.5756;-0.25;104/A/NBP/2022
2022-05-30;4.5869;-0.51;103/A/NBP/2022
2022-05-27;4.6102;-0.07;102/A/NBP/2022
2022-05-26;4.6135;0.39;101/A/NBP/2022
2022-05-25;4.5955;-0.33;100/A/NBP/2022
2022-05-24;4.6107;-0.56;099/A/NBP/2022
2022-05-23;4.6171;0.69;098/A/NBP/2022
2022-05-20;4.6366;-0.14;097/A/NBP/2022
2022-05-19;4.6429;-0.21;096/A/NBP/2022
2022-05-18;4.6528;-0.06;095/A/NBP/2022
2022-05-17;4.6558;-0.36;094/A/NBP/2022
2022-05-16;4.6724;0.10;093/A/NBP/2022
2022-05-13;4.6679;-0.35;092/A/NBP/2022
2022-05-12;4.6841;0.30;091/A/NBP/2022
2022-05-11;4.6700;-0.13;090/A/NBP/2022
2022-05-10;4.6761;-0.63;089/A/NBP/2022
2022-05-09;4.7059;0.17;088/A/NBP/2022
2022-05-06;4.6979;0.69;087/A/NBP/2022
2022-05-05;4.6658;-0.25;086/A/NBP/2022
2022-05-04;4.6777;-0.06;085/A/NBP/2022
2022-05-02;4.6806;0.48;084/A/NBP/2022
2022-04-29;4.6582;-0.71;083/A/NBP/2022
